Acessos;CorFolhaApical;CorPeciolo;CorFolhaDesenv;CorNerv;CorCortexCaule;CorExternaCaule;CorEpidCaule;CorRamosTerm;CorExternaRzs;CorCortexRzs;CorPolpaRzs;NLobulos;Pubescencia;FormaLobuloCentral;PosicaoPeciolo;Sinuosidade;ComprEstip;HabCrescCaule;TipoPlan;MargEstip;HabRamif;NiveisRam;ProemCicatrizesFolhas;FormaRzs;TxtEpidermeRzs;PresPedunculoRzs;PosicaoRzs;Flowering;DestqPelicRz;DestqCortexRz;ConstrRzs;ComprFilotaxia;AnguloRamif;PorteMod;HCNMod;RetFoliar;ComprLobulo;LargLobulo;RelComprLar;ComprPeciolo;EspEntreCasca;ComprMedRzs;DiamMedRzs;NRPl;AltPl;PPA;FRY;FRYC;FRYNC;IndColh;DMCsg
431;BGM-0456;7;5;5;3;3;9;2;3;4;1;1;5;1;5;3;7;5;1;2;1;3;2;1;1;7;5;3;0;4;7;1;7;80;1;NA;3;15.56;5.48;2.853416723;24.64;2.803333333;26;43.54333333;2.666666667;2.406;32.812;17.17;12.05;6.04;29.61;31.935
432;BGM-0460;7;7;5;3;2;7;1;5;2;1;1;5;1;5;3;3;5;1;1;1;2;2;2;2;3;0;3;1;4;7;2;3;90;5;8;1.285714286;16.74;4.32;3.872907865;21.18;2.476666667;24.66666667;50.825;4.541666667;2.1275;30.67666667;20.92833333;15.60181818;6.398;41.38166667;34.70916667
436;BGM-0464;7;5;5;3;2;5;4;5;4;3;1;1;1;5;1;3;3;1;2;2;2;3;2;3;7;3;3;1;3;3;2;5;120;5;NA;1;8.34;2.86;2.933333333;6.94;2.206666667;30.33333333;42.88;2.666666667;2.388333333;26.545;8.014;6.125;3.47;20.276;37.3575
437;BGM-0465;7;3;5;3;3;9;2;3;4;1;1;5;1;5;3;3;5;1;3;1;3;3;2;3;7;5;3;0;4;7;3;7;70;5;8;1;19.34;6.14;3.15078387;24.5;1.386666667;19.44444444;60.84777778;4.222222222;2.4875;28.52666667;19.35666667;14.08545455;5.165714286;40.03166667;38.79833333
445;BGM-0474;5;2;5;3;3;6;2;3;4;1;1;5;1;5;3;3;5;1;2;1;1;2;2;2;7;5;3;0;4;3;1;5;100;3;4;1.5;12.56;2.38;5.306841709;14.42;2.256666667;21.375;50.12916667;3.333333333;1.49;18.62076923;12.36230769;8.793333333;3.0525;37.24307692;34.64083333
449;BGM-0478;7;7;5;5;3;9;3;7;4;1;1;5;1;5;3;7;5;1;2;1;2;2;2;2;7;3;3;0;4;3;2;5;100;3;3;1.285714286;13.82;3.14;4.407898338;22.64;2.346666667;23.25;53.19833333;3.708333333;2.164;15.064;15.90466667;12.29428571;4.400714286;47.82333333;35.53071429
453;BGM-0492;7;1;5;3;2;6;2;3;2;1;1;5;1;2;3;3;5;1;2;1;3;3;NA;4;3;3;3;0;4;3;3;5;90;5;NA;NA;16.44;4.04;4.063322259;23.32;NA;NA;NA;NA;2.118181818;42.88090909;36.88454545;31.09363636;6.905714286;46.88909091;36.23545455
457;BGM-0498;5;2;5;3;3;6;3;3;4;1;1;5;1;5;3;7;5;1;1;1;2;0;2;1;7;5;3;0;4;3;2;5;90;3;8;1.714285714;18.72;6.26;2.996159611;29.2;2.963333333;25.79166667;76.53;4.020833333;1.980909091;21.47454545;21.27181818;15.516;6.45;52.02636364;30.64636364
461;BGM-0503;7;5;5;3;3;7;2;5;4;2;2;5;1;5;3;7;5;1;1;1;1;0;NA;3;7;5;3;0;4;7;2;3;0;3;3;NA;11.32;2.96;3.834375517;19.14;NA;NA;NA;NA;2.313333333;20.02;7.4;3.01;4.42;26.92333333;25.81
464;BGM-0507;7;9;5;9;3;9;4;5;4;1;1;3;1;5;3;3;5;1;1;1;2;3;1;2;7;3;2;0;3;3;2;5;90;1;4;1.285714286;14.68;3.56;4.129161789;23;2.326666667;27.05555555;57.83111111;4.111111111;1.536666667;12.56727273;15.85181818;11.366;4.654444444;55.36181818;30.99727273
