Acessos,CorFolhaApical,CorPeciolo,CorFolhaDesenv,CorNerv,CorCortexCaule,CorExternaCaule,CorEpidCaule,CorRamosTerm,CorExternaRzs,CorCortexRzs,CorPolpaRzs,NLobulos,Pubescencia,FormaLobuloCentral,PosicaoPeciolo,Sinuosidade,ComprEstip,HabCrescCaule,TipoPlan,MargEstip,HabRamif,NiveisRam,ProemCicatrizesFolhas,FormaRzs,TxtEpidermeRzs,PresPedunculoRzs,PosicaoRzs,Flowering,DestqPelicRz,DestqCortexRz,ConstrRzs,ComprFilotaxia,AnguloRamif,ComprLobulo,LargLobulo,RelComprLar,ComprPeciolo,EspEntreCasca,ComprMedRzs,DiamMedRzs
BGM-2207,5,5,5,3,3,7,1,3,1,1,1,3,1,5,3,7,5,1,1,1,2,2,2,2,3,0,2,1,4,NA,1,5,100,22.88,5.36,4.283200016,26.16,1.816666667,52.33333333,52.18666667
BGM-2208,7,5,5,3,3,6,3,5,4,3,1,3,0,5,7,7,5,1,2,2,2,3,1,2,7,0,3,1,4,NA,3,7,160,14.5,5.24,2.776675943,17.06,1.22,22.66666667,42.02666667
BGM-2209,5,7,5,3,3,9,2,5,4,3,1,5,1,2,7,7,5,1,1,1,2,1,1,1,7,5,3,1,3,3,1,3,80,12.34,4.24,2.915147426,18.82,2.323333333,25.55555555,59.51888889
BGM-2210,5,5,5,3,2,5,4,3,3,3,2,7,1,2,3,3,5,1,1,1,3,0,1,2,NA,5,2,0,3,3,1,5,90,16.88,4,4.26648441,25.16,1.946666667,26.22222222,53.59888889
BGM-2211,5,7,3,3,3,7,1,7,4,1,1,3,1,5,3,7,5,1,2,1,3,2,1,2,7,0,3,0,3,3,1,7,90,22.68,6,3.782925069,31.04,1.523333333,22.33333333,46.5
BGM-2212,7,7,5,5,1,5,4,5,4,3,2,5,1,5,7,7,5,1,1,1,2,2,2,4,7,0,3,1,3,3,2,7,90,18.56,4.44,4.205136156,23.48,1.906666667,27,65.04333333
BGM-2215,3,5,5,3,3,6,2,5,4,3,1,5,NA,5,3,7,5,1,1,1,2,2,NA,2,7,0,2,0,4,NA,3,3,90,17.36,4.5,3.854172603,24.46,NA,NA,NA
BGM-2216,3,5,5,3,3,7,1,5,1,3,1,5,1,4,3,3,5,1,1,1,2,1,2,2,3,0,2,0,4,NA,3,3,90,20.12,3.06,6.61275559,26.68,1.87,38,61.71666667
BGM-2217,7,5,5,3,3,8,3,5,4,3,1,5,1,5,3,3,5,1,1,1,3,1,NA,2,7,0,2,0,4,NA,3,3,90,17.38,4.34,4.001510224,26.2,NA,NA,NA
BGM-2218,7,1,5,3,1,4,1,3,1,1,1,5,1,5,3,7,5,1,2,1,2,1,2,2,3,0,2,0,4,3,1,3,90,17.4,4.78,3.641300651,26.1,1.506666667,30,56.13666667
BGM-2220,7,3,5,5,3,8,3,3,4,2,1,5,1,5,3,7,5,1,2,1,2,2,2,2,7,0,2,0,3,3,2,5,90,19.18,4.74,4.057284283,26.62,1.476666667,22.66666667,49.03
BGM-2221,7,7,5,5,3,8,2,5,4,3,1,5,1,5,3,3,5,1,1,1,1,0,2,2,7,0,3,0,3,5,1,3,0,17.36,5.24,3.316083916,28.2,1.95,30,42.19
BGM-2222,7,5,5,3,3,8,3,5,3,1,1,5,1,5,3,7,5,1,1,1,3,1,NA,2,7,0,2,0,4,NA,2,7,90,16.36,4.6,3.567231404,27.52,NA,NA,NA
BGM-2223,5,5,5,3,3,7,1,3,1,1,1,5,1,2,3,7,5,1,2,1,3,2,NA,2,3,0,NA,0,4,NA,2,5,100,16.36,5.36,3.052401632,26.38,NA,NA,NA
BGM-2224,7,5,5,3,2,5,4,5,4,1,1,5,1,5,3,7,5,1,1,1,2,1,1,2,7,0,1,0,3,NA,1,3,70,17.32,4.86,3.567,23.36,1.476666667,27,58.62666667
BGM-2226,7,5,5,3,3,8,3,5,4,2,1,7,1,5,3,7,5,1,2,1,2,3,1,2,7,0,3,1,4,3,2,5,140,15.3,3.94,3.937972813,24.12,2.096666667,34.66666667,43.04666667
BGM-2228,3,5,5,5,2,5,2,5,4,3,1,5,1,5,3,7,5,1,1,1,1,0,1,2,7,0,3,0,4,NA,1,3,0,18,4.26,4.224092771,26.1,1.646666667,26,55.08666667
BGM-2229,7,5,5,5,2,5,2,7,4,1,1,5,1,5,7,7,5,1,1,1,2,2,NA,2,7,0,NA,0,4,NA,1,3,100,18.8,5.08,3.708737595,25.98,NA,NA,NA
BGM-2230,5,7,5,7,1,4,1,7,1,3,1,5,1,5,3,7,5,1,2,1,2,2,2,4,3,3,3,1,3,3,NA,3,100,17.76,5.44,3.288138952,26.56,2.153333333,19.66666667,75.19
BGM-2232,7,5,3,3,2,3,2,5,1,1,1,3,1,5,5,3,5,1,2,1,2,3,1,3,7,0,3,1,3,3,2,3,100,11.98,3.38,3.575562272,15.12,2.596666667,31.83333333,61.195
BGM-2233,7,5,5,3,2,7,2,3,1,1,1,5,1,9,7,7,3,1,4,1,1,0,2,3,3,0,3,0,4,3,1,3,0,13.31,2.59,5.140112718,19.31,2.016666667,33.58333333,66.425
BGM-2234,7,2,5,3,3,9,3,3,4,1,1,5,1,5,3,7,5,1,1,1,2,2,2,2,7,5,2,0,3,3,NA,5,90,10.64,3.16,3.376233911,12.76,3.506666667,30,72.29
BGM-2235,7,7,5,3,2,5,2,5,4,2,NA,5,1,5,3,3,5,1,1,1,1,0,NA,2,7,0,2,0,4,3,2,3,0,16.02,4.18,3.832666181,26.62,NA,NA,NA
